matrix,run_type,schedule,chunk,threads,config,p90_time_ms,count
crankseg_1,sequential,sequential,-,-,seq,6.948099999999999,10
crankseg_1,parallel,static,1,1,static_c1_t1,7.1656,10
crankseg_1,parallel,static,1,2,static_c1_t2,5.6562,10
crankseg_1,parallel,static,1,4,static_c1_t4,5.515499999999999,10
crankseg_1,parallel,static,1,8,static_c1_t8,3.9009999999999994,10
crankseg_1,parallel,static,1,16,static_c1_t16,2.0677,10
crankseg_1,parallel,static,1,32,static_c1_t32,25.928199999999997,10
crankseg_1,parallel,static,1,64,static_c1_t64,26.145599999999998,10
crankseg_1,parallel,static,10,1,static_c10_t1,7.1084,10
crankseg_1,parallel,static,10,2,static_c10_t2,4.047,10
crankseg_1,parallel,static,10,4,static_c10_t4,2.4596999999999998,10
crankseg_1,parallel,static,10,8,static_c10_t8,1.2365,10
crankseg_1,parallel,static,10,16,static_c10_t16,1.7756999999999967,10
crankseg_1,parallel,static,10,32,static_c10_t32,0.6159999999999989,10
crankseg_1,parallel,static,10,64,static_c10_t64,0.6536999999999984,10
crankseg_1,parallel,static,100,1,static_c100_t1,7.082199999999999,10
crankseg_1,parallel,static,100,2,static_c100_t2,3.6481,10
crankseg_1,parallel,static,100,4,static_c100_t4,2.2548,10
crankseg_1,parallel,static,100,8,static_c100_t8,1.2857999999999996,10
crankseg_1,parallel,static,100,16,static_c100_t16,1.1244999999999998,10
crankseg_1,parallel,static,100,32,static_c100_t32,14.367899999999993,10
crankseg_1,parallel,static,100,64,static_c100_t64,26.0976,10
crankseg_1,parallel,static,1000,1,static_c1000_t1,7.0292,10
crankseg_1,parallel,static,1000,2,static_c1000_t2,25.986800000000002,10
crankseg_1,parallel,static,1000,4,static_c1000_t4,2.1165999999999996,10
crankseg_1,parallel,static,1000,8,static_c1000_t8,1.2229999999999999,10
crankseg_1,parallel,static,1000,16,static_c1000_t16,0.6297999999999999,10
crankseg_1,parallel,static,1000,32,static_c1000_t32,25.9946,10
crankseg_1,parallel,static,1000,64,static_c1000_t64,0.26269999999999993,10
crankseg_1,parallel,static,10000,1,static_c10000_t1,7.1006,10
crankseg_1,parallel,static,10000,2,static_c10000_t2,5.152599999999995,10
crankseg_1,parallel,static,10000,4,static_c10000_t4,2.1073,10
crankseg_1,parallel,static,10000,8,static_c10000_t8,2.2272,10
crankseg_1,parallel,static,10000,16,static_c10000_t16,25.9426,10
crankseg_1,parallel,static,10000,32,static_c10000_t32,1.7105,10
crankseg_1,parallel,static,10000,64,static_c10000_t64,29.2859,10
crankseg_1,parallel,dynamic,1,1,dynamic_c1_t1,8.6772,10
crankseg_1,parallel,dynamic,1,2,dynamic_c1_t2,11.6558,10
crankseg_1,parallel,dynamic,1,4,dynamic_c1_t4,8.899600000000001,10
crankseg_1,parallel,dynamic,1,8,dynamic_c1_t8,6.1476,10
crankseg_1,parallel,dynamic,1,16,dynamic_c1_t16,5.339299999999999,10
crankseg_1,parallel,dynamic,1,32,dynamic_c1_t32,5.610999999999995,10
crankseg_1,parallel,dynamic,1,64,dynamic_c1_t64,4.3556,10
crankseg_1,parallel,dynamic,10,1,dynamic_c10_t1,7.188199999999999,10
crankseg_1,parallel,dynamic,10,2,dynamic_c10_t2,5.1387,10
crankseg_1,parallel,dynamic,10,4,dynamic_c10_t4,2.626,10
crankseg_1,parallel,dynamic,10,8,dynamic_c10_t8,2.2981,10
crankseg_1,parallel,dynamic,10,16,dynamic_c10_t16,4.452799999999993,10
crankseg_1,parallel,dynamic,10,32,dynamic_c10_t32,2.2478999999999996,10
crankseg_1,parallel,dynamic,10,64,dynamic_c10_t64,58.133199999999995,10
crankseg_1,parallel,dynamic,100,1,dynamic_c100_t1,7.1879,10
crankseg_1,parallel,dynamic,100,2,dynamic_c100_t2,3.6698999999999997,10
crankseg_1,parallel,dynamic,100,4,dynamic_c100_t4,2.6231,10
crankseg_1,parallel,dynamic,100,8,dynamic_c100_t8,2.0248,10
crankseg_1,parallel,dynamic,100,16,dynamic_c100_t16,6.041399999999992,10
crankseg_1,parallel,dynamic,100,32,dynamic_c100_t32,3.3354999999999984,10
crankseg_1,parallel,dynamic,100,64,dynamic_c100_t64,3.0989999999999958,10
crankseg_1,parallel,dynamic,1000,1,dynamic_c1000_t1,7.1411999999999995,10
crankseg_1,parallel,dynamic,1000,2,dynamic_c1000_t2,3.6428,10
crankseg_1,parallel,dynamic,1000,4,dynamic_c1000_t4,2.6513999999999998,10
crankseg_1,parallel,dynamic,1000,8,dynamic_c1000_t8,2.0696999999999997,10
crankseg_1,parallel,dynamic,1000,16,dynamic_c1000_t16,3.455499999999994,10
crankseg_1,parallel,dynamic,1000,32,dynamic_c1000_t32,25.9961,10
crankseg_1,parallel,dynamic,1000,64,dynamic_c1000_t64,69.8758,10
crankseg_1,parallel,dynamic,10000,1,dynamic_c10000_t1,7.121199999999999,10
crankseg_1,parallel,dynamic,10000,2,dynamic_c10000_t2,3.6195999999999997,10
crankseg_1,parallel,dynamic,10000,4,dynamic_c10000_t4,2.3188,10
crankseg_1,parallel,dynamic,10000,8,dynamic_c10000_t8,2.5557999999999996,10
crankseg_1,parallel,dynamic,10000,16,dynamic_c10000_t16,2.7478999999999996,10
crankseg_1,parallel,dynamic,10000,32,dynamic_c10000_t32,25.994400000000002,10
crankseg_1,parallel,dynamic,10000,64,dynamic_c10000_t64,4.131599999999999,10
crankseg_1,parallel,guided,1,1,guided_c1_t1,7.0893,10
crankseg_1,parallel,guided,1,2,guided_c1_t2,4.326200000000001,10
crankseg_1,parallel,guided,1,4,guided_c1_t4,2.6682,10
crankseg_1,parallel,guided,1,8,guided_c1_t8,1.8721999999999999,10
crankseg_1,parallel,guided,1,16,guided_c1_t16,1.9494999999999998,10
crankseg_1,parallel,guided,1,32,guided_c1_t32,25.9981,10
crankseg_1,parallel,guided,1,64,guided_c1_t64,52.1876,10
crankseg_1,parallel,guided,10,1,guided_c10_t1,7.1518,10
crankseg_1,parallel,guided,10,2,guided_c10_t2,4.3204,10
crankseg_1,parallel,guided,10,4,guided_c10_t4,2.7685,10
crankseg_1,parallel,guided,10,8,guided_c10_t8,25.990600000000004,10
crankseg_1,parallel,guided,10,16,guided_c10_t16,2.2486999999999977,10
crankseg_1,parallel,guided,10,32,guided_c10_t32,2.884999999999996,10
crankseg_1,parallel,guided,10,64,guided_c10_t64,28.59829999999999,10
crankseg_1,parallel,guided,100,1,guided_c100_t1,7.1533999999999995,10
crankseg_1,parallel,guided,100,2,guided_c100_t2,3.6010999999999997,10
crankseg_1,parallel,guided,100,4,guided_c100_t4,2.3918999999999997,10
crankseg_1,parallel,guided,100,8,guided_c100_t8,3.9248999999999934,10
