matrix,run_type,schedule,chunk,threads,config,p90_time_ms,count
crankseg_1,sequential,sequential,-,-,seq,6.948099999999999,10
crankseg_1,parallel,static,1000,1,static_c1000_t1,7.0292,10
crankseg_1,parallel,static,100,2,static_c100_t2,3.6481,10
crankseg_1,parallel,static,10000,4,static_c10000_t4,2.1073,10
crankseg_1,parallel,static,1000,8,static_c1000_t8,1.2229999999999999,10
crankseg_1,parallel,static,1000,16,static_c1000_t16,0.6297999999999999,10
crankseg_1,parallel,static,10,32,static_c10_t32,0.6159999999999989,10
crankseg_1,parallel,static,1000,64,static_c1000_t64,0.26269999999999993,10
crankseg_1,parallel,dynamic,10000,1,dynamic_c10000_t1,7.121199999999999,10
crankseg_1,parallel,dynamic,10000,2,dynamic_c10000_t2,3.6195999999999997,10
crankseg_1,parallel,dynamic,10000,4,dynamic_c10000_t4,2.3188,10
crankseg_1,parallel,dynamic,100,8,dynamic_c100_t8,2.0248,10
crankseg_1,parallel,dynamic,10000,16,dynamic_c10000_t16,2.7478999999999996,10
crankseg_1,parallel,dynamic,10,32,dynamic_c10_t32,2.2478999999999996,10
crankseg_1,parallel,dynamic,100,64,dynamic_c100_t64,3.0989999999999958,10
crankseg_1,parallel,guided,1,1,guided_c1_t1,7.0893,10
crankseg_1,parallel,guided,1000,2,guided_c1000_t2,3.5812,10
crankseg_1,parallel,guided,100,4,guided_c100_t4,2.3918999999999997,10
crankseg_1,parallel,guided,1,8,guided_c1_t8,1.8721999999999999,10
crankseg_1,parallel,guided,1,16,guided_c1_t16,1.9494999999999998,10
crankseg_1,parallel,guided,100,32,guided_c100_t32,1.5708999999999995,10
crankseg_1,parallel,guided,1000,64,guided_c1000_t64,2.199599999999998,10
ldoor,sequential,sequential,-,-,seq,30.5773,10
ldoor,parallel,static,100,1,static_c100_t1,30.6425,10
ldoor,parallel,static,10000,2,static_c10000_t2,15.1093,10
ldoor,parallel,static,10000,4,static_c10000_t4,12.4046,10
ldoor,parallel,static,10000,8,static_c10000_t8,9.7146,10
ldoor,parallel,static,10000,16,static_c10000_t16,7.2799,10
ldoor,parallel,static,100,32,static_c100_t32,8.4056,10
ldoor,parallel,static,1,64,static_c1_t64,41.053200000000004,10
ldoor,parallel,dynamic,10000,1,dynamic_c10000_t1,30.3063,10
ldoor,parallel,dynamic,10000,2,dynamic_c10000_t2,16.038899999999998,10
ldoor,parallel,dynamic,10000,4,dynamic_c10000_t4,14.295599999999999,10
ldoor,parallel,dynamic,1000,8,dynamic_c1000_t8,11.715100000000001,10
ldoor,parallel,dynamic,10000,16,dynamic_c10000_t16,10.027399999999998,10
ldoor,parallel,dynamic,10,32,dynamic_c10_t32,15.1561,10
ldoor,parallel,dynamic,10,64,dynamic_c10_t64,36.3885,10
ldoor,parallel,guided,1000,1,guided_c1000_t1,25.389,10
ldoor,parallel,guided,1,2,guided_c1_t2,15.8107,10
ldoor,parallel,guided,1,4,guided_c1_t4,9.465100000000001,10
ldoor,parallel,guided,10,8,guided_c10_t8,10.1919,10
ldoor,parallel,guided,100,16,guided_c100_t16,10.4563,10
ldoor,parallel,guided,100,32,guided_c100_t32,39.6274,10
ldoor,parallel,guided,10000,64,guided_c10000_t64,119.69309999999999,10
msdoor,sequential,sequential,-,-,seq,10.9654,10
msdoor,parallel,static,1000,1,static_c1000_t1,11.136800000000001,10
msdoor,parallel,static,10000,2,static_c10000_t2,6.6273,10
msdoor,parallel,static,10000,4,static_c10000_t4,3.3892,10
msdoor,parallel,static,10000,8,static_c10000_t8,1.9903999999999997,10
msdoor,parallel,static,10000,16,static_c10000_t16,1.3821,10
msdoor,parallel,static,10000,32,static_c10000_t32,1.0987999999999998,10
msdoor,parallel,static,10000,64,static_c10000_t64,1.0363,10
msdoor,parallel,dynamic,100,1,dynamic_c100_t1,11.2796,10
msdoor,parallel,dynamic,10000,2,dynamic_c10000_t2,6.6241,10
msdoor,parallel,dynamic,1000,4,dynamic_c1000_t4,3.9362,10
