matrix,config,run_type,schedule,chunk,threads,L1_misses_val_mean,L1_misses_val_std,L1_misses_val_min,L1_misses_val_max,L1_percent_val_mean,L1_percent_val_std,L1_percent_val_min,L1_percent_val_max,LLC_misses_val_mean,LLC_misses_val_std,LLC_misses_val_min,LLC_misses_val_max,LLC_percent_val_mean,LLC_percent_val_std,LLC_percent_val_min,LLC_percent_val_max,repeat_count
crankseg_1,dynamic_c10000_t1,parallel,dynamic,10000.0,1.0,11937696.3,306272.8882059446,11522373.0,12245049.0,0.351,0.009944289260117511,0.34,0.36,71349.0,18592.10846329999,50287.0,94217.0,66.501,2.8227191382306085,63.66,72.84,10
crankseg_1,dynamic_c10000_t16,parallel,dynamic,10000.0,16.0,11811860.8,281036.71844274533,11567022.0,12249084.0,0.346,0.009660917830792941,0.34,0.36,69131.3,19170.83538462642,56422.0,99810.0,64.673,2.6460958662401715,62.48,69.8,10
crankseg_1,dynamic_c10000_t2,parallel,dynamic,10000.0,2.0,11797853.1,258848.03516196742,11593828.0,12288584.0,0.34500000000000003,0.008498365855987965,0.34,0.36,60224.8,14505.005134626997,50517.0,88342.0,64.325,1.1000328277929827,63.05,66.95,10
crankseg_1,dynamic_c10000_t32,parallel,dynamic,10000.0,32.0,12009940.5,339732.8051834755,11636290.0,12444360.0,0.35,0.010540925533894576,0.34,0.36,78141.7,20692.389524492653,56133.0,102108.0,64.225,2.588106343341487,60.88,67.2,10
crankseg_1,dynamic_c10000_t4,parallel,dynamic,10000.0,4.0,11947524.2,306786.57815447747,11612482.0,12358755.0,0.351,0.009944289260117515,0.34,0.36,73882.1,19606.32262222232,53914.0,98916.0,67.404,2.0331759501933067,64.38,70.92,10
crankseg_1,dynamic_c10000_t64,parallel,dynamic,10000.0,64.0,11856852.9,242454.94866444322,11606316.0,12184087.0,0.343,0.0067494855771055,0.33,0.35,69654.9,14787.17399527938,54951.0,88353.0,60.032000000000004,1.6901663297504845,56.86,62.46,10
crankseg_1,dynamic_c10000_t8,parallel,dynamic,10000.0,8.0,11841069.3,307820.1949288109,11562074.0,12347706.0,0.34700000000000003,0.009486832980505129,0.34,0.36,70416.0,20271.067636192995,56923.0,102376.0,66.531,2.1013828780115236,64.18,70.21,10
crankseg_1,dynamic_c1000_t1,parallel,dynamic,1000.0,1.0,11831193.8,256879.99318523126,11610709.0,12221085.0,0.34700000000000003,0.0094868329805051,0.34,0.36,65073.4,18381.892649500973,50484.0,90007.0,65.081,1.84163242803769,63.17,68.14,10
crankseg_1,dynamic_c1000_t16,parallel,dynamic,1000.0,16.0,11966277.0,318466.10720626335,11647160.0,12440247.0,0.35100000000000003,0.01197218999737863,0.34,0.37,78796.4,19068.927326354198,60160.0,102926.0,63.352,2.344382410974984,60.94,66.77,10
crankseg_1,dynamic_c1000_t2,parallel,dynamic,1000.0,2.0,12020016.9,329029.65773803904,11630005.0,12406401.0,0.35300000000000004,0.011595018087284045,0.34,0.37,71864.1,18148.153266624373,50216.0,90029.0,63.027,2.309540839407021,60.31,66.56,10
crankseg_1,dynamic_c1000_t32,parallel,dynamic,1000.0,32.0,11989072.6,283963.4255143119,11617544.0,12332033.0,0.352,0.01032795558988643,0.34,0.36,81744.8,17536.87696002658,61825.0,103418.0,60.989,2.3846008284639817,58.73,65.38,10
