run_type,mode,schedule,chunk,threads,repeat,metric,value,log_file
sequential,code,-,-,-,1,time,0.000002,../results/logs/seq_runs.log
sequential,code,-,-,-,2,time,0.000003,../results/logs/seq_runs.log
sequential,code,-,-,-,3,time,0.000003,../results/logs/seq_runs.log
parallel,code,static,1,1,1,time,0.000024,../results/logs/static_c1_t1.log
parallel,code,static,1,1,2,time,0.000027,../results/logs/static_c1_t1.log
parallel,code,static,1,1,3,time,0.000026,../results/logs/static_c1_t1.log
parallel,code,static,1,2,1,time,0.000226,../results/logs/static_c1_t2.log
parallel,code,static,1,2,2,time,0.000155,../results/logs/static_c1_t2.log
parallel,code,static,1,2,3,time,0.000178,../results/logs/static_c1_t2.log
parallel,code,static,1,4,1,time,0.000250,../results/logs/static_c1_t4.log
parallel,code,static,1,4,2,time,0.000274,../results/logs/static_c1_t4.log
parallel,code,static,1,4,3,time,0.000329,../results/logs/static_c1_t4.log
parallel,code,static,1,8,1,time,0.000394,../results/logs/static_c1_t8.log
parallel,code,static,1,8,2,time,0.000425,../results/logs/static_c1_t8.log
parallel,code,static,1,8,3,time,0.000427,../results/logs/static_c1_t8.log
parallel,code,static,10,1,1,time,0.000024,../results/logs/static_c10_t1.log
parallel,code,static,10,1,2,time,0.000024,../results/logs/static_c10_t1.log
parallel,code,static,10,1,3,time,0.000025,../results/logs/static_c10_t1.log
parallel,code,static,10,2,1,time,0.000180,../results/logs/static_c10_t2.log
parallel,code,static,10,2,2,time,0.000145,../results/logs/static_c10_t2.log
parallel,code,static,10,2,3,time,0.000185,../results/logs/static_c10_t2.log
parallel,code,static,10,4,1,time,0.000234,../results/logs/static_c10_t4.log
parallel,code,static,10,4,2,time,0.000259,../results/logs/static_c10_t4.log
parallel,code,static,10,4,3,time,0.000300,../results/logs/static_c10_t4.log
parallel,code,static,10,8,1,time,0.000348,../results/logs/static_c10_t8.log
parallel,code,static,10,8,2,time,0.000416,../results/logs/static_c10_t8.log
parallel,code,static,10,8,3,time,0.000419,../results/logs/static_c10_t8.log
parallel,code,static,100,1,1,time,0.000024,../results/logs/static_c100_t1.log
parallel,code,static,100,1,2,time,0.000037,../results/logs/static_c100_t1.log
parallel,code,static,100,1,3,time,0.000023,../results/logs/static_c100_t1.log
parallel,code,static,100,2,1,time,0.000163,../results/logs/static_c100_t2.log
parallel,code,static,100,2,2,time,0.000218,../results/logs/static_c100_t2.log
parallel,code,static,100,2,3,time,0.000133,../results/logs/static_c100_t2.log
parallel,code,static,100,4,1,time,0.000278,../results/logs/static_c100_t4.log
parallel,code,static,100,4,2,time,0.000261,../results/logs/static_c100_t4.log
parallel,code,static,100,4,3,time,0.000228,../results/logs/static_c100_t4.log
parallel,code,static,100,8,1,time,0.000444,../results/logs/static_c100_t8.log
parallel,code,static,100,8,2,time,0.000403,../results/logs/static_c100_t8.log
parallel,code,static,100,8,3,time,0.000451,../results/logs/static_c100_t8.log
parallel,code,dynamic,1,1,1,time,0.000057,../results/logs/dynamic_c1_t1.log
parallel,code,dynamic,1,1,2,time,0.000052,../results/logs/dynamic_c1_t1.log
parallel,code,dynamic,1,1,3,time,0.000050,../results/logs/dynamic_c1_t1.log
parallel,code,dynamic,1,2,1,time,0.000197,../results/logs/dynamic_c1_t2.log
parallel,code,dynamic,1,2,2,time,0.000165,../results/logs/dynamic_c1_t2.log
parallel,code,dynamic,1,2,3,time,0.000187,../results/logs/dynamic_c1_t2.log
parallel,code,dynamic,1,4,1,time,0.000268,../results/logs/dynamic_c1_t4.log
parallel,code,dynamic,1,4,2,time,0.000270,../results/logs/dynamic_c1_t4.log
parallel,code,dynamic,1,4,3,time,0.000334,../results/logs/dynamic_c1_t4.log
parallel,code,dynamic,1,8,1,time,0.000426,../results/logs/dynamic_c1_t8.log
parallel,code,dynamic,1,8,2,time,0.000481,../results/logs/dynamic_c1_t8.log
parallel,code,dynamic,1,8,3,time,0.000420,../results/logs/dynamic_c1_t8.log
parallel,code,dynamic,10,1,1,time,0.000027,../results/logs/dynamic_c10_t1.log
parallel,code,dynamic,10,1,2,time,0.000027,../results/logs/dynamic_c10_t1.log
parallel,code,dynamic,10,1,3,time,0.000024,../results/logs/dynamic_c10_t1.log
parallel,code,dynamic,10,2,1,time,0.000169,../results/logs/dynamic_c10_t2.log
parallel,code,dynamic,10,2,2,time,0.000148,../results/logs/dynamic_c10_t2.log
parallel,code,dynamic,10,2,3,time,0.000202,../results/logs/dynamic_c10_t2.log
parallel,code,dynamic,10,4,1,time,0.000226,../results/logs/dynamic_c10_t4.log
parallel,code,dynamic,10,4,2,time,0.000230,../results/logs/dynamic_c10_t4.log
parallel,code,dynamic,10,4,3,time,0.000253,../results/logs/dynamic_c10_t4.log
parallel,code,dynamic,10,8,1,time,0.000368,../results/logs/dynamic_c10_t8.log
parallel,code,dynamic,10,8,2,time,0.000462,../results/logs/dynamic_c10_t8.log
parallel,code,dynamic,10,8,3,time,0.000390,../results/logs/dynamic_c10_t8.log
parallel,code,dynamic,100,1,1,time,0.000023,../results/logs/dynamic_c100_t1.log
